b'id',b'lat',b'lon',b'ele',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'105547685',b'41.367656',b'-81.613946',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:25:31Z'
b'105547909',b'41.3305718',b'-81.591829',,b'oobleck',b'582032',b'3',b'38459387',b'2016-04-10T19:42:41Z'
b'105548119',b'41.4684133',b'-81.6752313',,b'OSchl\xc3\xbcter',b'66904',b'3',b'6836154',b'2011-01-02T09:17:05Z'
b'105548367',b'41.4456986',b'-81.64688',,b'OSchl\xc3\xbcter',b'66904',b'3',b'6837691',b'2011-01-02T12:14:19Z'
b'105548594',b'41.335348',b'-81.687652',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:25:38Z'
b'105548891',b'41.4056519',b'-81.9688855',,b'mkoch227',b'2260289',b'3',b'24733990',b'2014-08-13T22:42:20Z'
b'105549121',b'41.4663439',b'-81.8458433',,b'maxerickson',b'360392',b'4',b'46207511',b'2017-02-19T06:08:47Z'
b'105549343',b'41.398599',b'-81.934262',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:25:43Z'
b'105549569',b'41.512328',b'-81.643875',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:25:44Z'
b'105549796',b'41.447998',b'-81.625976',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:06:40Z'
b'105550017',b'41.328876',b'-81.662829',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:06:43Z'
b'105550252',b'41.4638406',b'-81.7147089',,b'skorasaurus',b'205523',b'3',b'9038285',b'2011-08-16T15:58:28Z'
b'105550522',b'41.529539',b'-81.521268',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:25:51Z'
b'105550752',b'41.431018',b'-81.914877',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:07:10Z'
b'105551019',b'41.482915',b'-81.912349',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:07:14Z'
b'105551232',b'41.41443',b'-81.871495',,b'woodpeck_fixbot',b'147510',b'3',b'2879694',b'2009-10-18T06:07:18Z'
b'105551489',b'41.493009',b'-81.702983',,b'MikeN',b'135163',b'3',b'43295052',b'2016-10-31T01:25:36Z'
b'105551720',b'41.3883332',b'-81.4971375',,"b""Nick D'Amato""",b'2975766',b'3',b'33650770',b'2015-08-28T19:06:43Z'
b'105552349',b'41.303059',b'-81.854004',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:26:03Z'
b'105552593',b'41.2875425',b'-81.851704',,b'ediyes',b'1240849',b'3',b'31269685',b'2015-05-18T22:03:40Z'
b'105552914',b'41.398047',b'-81.727169',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:07:44Z'
b'105553221',b'41.356007',b'-81.680955',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:07:48Z'
b'105553505',b'41.427519',b'-81.839205',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:26:11Z'
b'105553806',b'41.353748',b'-81.663396',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:07:57Z'
b'105554157',b'41.4969477',b'-81.7105334',,b'NE2',b'207745',b'3',b'4435833',b'2010-04-16T03:45:49Z'
b'105554480',b'41.445459',b'-81.586341',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:08:07Z'
b'105554849',b'41.475618',b'-81.499319',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:08:11Z'
b'105555197',b'41.392736',b'-81.405648',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:08:16Z'
b'105555493',b'41.379471',b'-81.593149',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:26:22Z'
b'105555850',b'41.543631',b'-81.421211',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:26:24Z'
b'105556180',b'41.554957',b'-81.566031',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:08:30Z'
b'105556499',b'41.442346',b'-81.4548',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:26:28Z'
b'105556832',b'41.466557',b'-81.794623',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:08:39Z'
b'105557124',b'41.43377',b'-81.423016',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:08:43Z'
b'105557406',b'41.364024',b'-81.657387',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:26:33Z'
b'105557698',b'41.433829',b'-81.3810403',,b'pkoby',b'999995',b'3',b'29183517',b'2015-03-01T18:41:58Z'
b'105558057',b'41.439531',b'-81.651483',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:08:56Z'
b'105558367',b'41.400423',b'-81.752915',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:09:00Z'
b'105558647',b'41.544852',b'-81.570557',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:26:40Z'
b'105558898',b'41.491669',b'-81.795424',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:09:09Z'
b'105559130',b'41.5495811',b'-81.5608543',,b'skorasaurus',b'205523',b'5',b'7127708',b'2011-01-29T21:35:58Z'
b'105559379',b'41.543956',b'-81.431236',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:27:01Z'
b'105559624',b'41.455617',b'-81.604047',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:27:04Z'
b'105559869',b'41.333694',b'-81.73993',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:09:38Z'
b'105560144',b'41.362159',b'-81.43783',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:09:42Z'
b'105560437',b'41.467984',b'-81.889573',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:09:45Z'
b'105560706',b'41.409618',b'-81.804964',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:27:13Z'
b'105561021',b'41.53685',b'-81.510278',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:09:52Z'
b'105561369',b'41.4813519',b'-81.5699319',,b'wlgann',b'2851892',b'4',b'31017890',b'2015-05-11T20:22:29Z'
b'105561657',b'41.407638',b'-81.657955',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:27:19Z'
b'105561948',b'41.506308',b'-81.587812',,b'wlgann',b'2851892',b'6',b'34985597',b'2015-10-31T05:50:33Z'
b'105562311',b'41.440846',b'-81.436816',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:10:07Z'
b'105562650',b'41.387128',b'-81.9646728',,b'maxerickson',b'360392',b'4',b'35777345',b'2015-12-05T22:22:55Z'
b'105562961',b'41.398285',b'-81.798785',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:10:14Z'
b'105563280',b'41.46404',b'-81.726767',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:10:18Z'
b'105563711',b'41.400549',b'-81.528413',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:10:22Z'
b'105564165',b'41.363641',b'-81.551212',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:10:26Z'
b'105564609',b'41.5260586',b'-81.586483',,b'wlgann',b'2851892',b'8',b'43681290',b'2016-11-15T21:13:12Z'
